"","year","month","neighbourhood","num_reviews","date"
"254","2015","12","Slotervaart",34,2015-12-01
"255","2015","12","Watergraafsmeer",53,2015-12-01
"256","2015","12","Westerpark",167,2015-12-01
"257","2015","12","Zuid",94,2015-12-01
"258","2016","01","Bijlmer-Centrum",1,2016-01-01
"259","2016","01","Bijlmer-Oost",12,2016-01-01
"260","2016","01","Bos en Lommer",113,2016-01-01
"261","2016","01","Buitenveldert - Zuidas",16,2016-01-01
"262","2016","01","Centrum-Oost",328,2016-01-01
"263","2016","01","Centrum-West",472,2016-01-01
"264","2016","01","De Aker - Nieuw Sloten",14,2016-01-01
"265","2016","01","De Baarsjes - Oud-West",437,2016-01-01
"266","2016","01","De Pijp - Rivierenbuurt",314,2016-01-01
"267","2016","01","Gaasperdam - Driemond",16,2016-01-01
"268","2016","01","Geuzenveld - Slotermeer",7,2016-01-01
"269","2016","01","IJburg - Zeeburgereiland",58,2016-01-01
"270","2016","01","Noord-Oost",11,2016-01-01
"271","2016","01","Noord-West",35,2016-01-01
"272","2016","01","Oostelijk Havengebied - Indische Buurt",98,2016-01-01
"273","2016","01","Osdorp",6,2016-01-01
"274","2016","01","Oud-Noord",77,2016-01-01
"275","2016","01","Oud-Oost",128,2016-01-01
"276","2016","01","Slotervaart",39,2016-01-01
"277","2016","01","Watergraafsmeer",65,2016-01-01
"278","2016","01","Westerpark",231,2016-01-01
"279","2016","01","Zuid",144,2016-01-01
"280","2016","02","Bijlmer-Centrum",8,2016-02-01
"281","2016","02","Bijlmer-Oost",10,2016-02-01
"282","2016","02","Bos en Lommer",90,2016-02-01
"283","2016","02","Buitenveldert - Zuidas",19,2016-02-01
"284","2016","02","Centrum-Oost",341,2016-02-01
"285","2016","02","Centrum-West",560,2016-02-01
"286","2016","02","De Aker - Nieuw Sloten",16,2016-02-01
"287","2016","02","De Baarsjes - Oud-West",438,2016-02-01
"288","2016","02","De Pijp - Rivierenbuurt",380,2016-02-01
"289","2016","02","Gaasperdam - Driemond",16,2016-02-01
"290","2016","02","Geuzenveld - Slotermeer",8,2016-02-01
"291","2016","02","IJburg - Zeeburgereiland",60,2016-02-01
"292","2016","02","Noord-Oost",15,2016-02-01
"293","2016","02","Noord-West",36,2016-02-01
"294","2016","02","Oostelijk Havengebied - Indische Buurt",110,2016-02-01
"295","2016","02","Osdorp",11,2016-02-01
"296","2016","02","Oud-Noord",98,2016-02-01
"297","2016","02","Oud-Oost",139,2016-02-01
"298","2016","02","Slotervaart",57,2016-02-01
"299","2016","02","Watergraafsmeer",48,2016-02-01
"300","2016","02","Westerpark",213,2016-02-01
"301","2016","02","Zuid",129,2016-02-01
